Value1,Value2,Value3
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
