Value1,Value2,Value3
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
6.200000000000000000e+01,6.200000000000000000e+01,6.200000000000000000e+01
