Value1,Value2,Value3
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
6.600000000000000000e+01,6.600000000000000000e+01,6.600000000000000000e+01
